Aagaard, Jacob|Jacob_Aagaard
Abbadessa, Francesco|Francesco_Abbadessa
Abrahams, Gerald|Gerald_Abrahams
Adams, Michael|Michael_Adams
Adinolfi, Renato|Renato_Adinolfi
Adly, Ahmed|Ahmed_Adly
Agdestein, Simen|Simen_Agdestein
Akhmilovskaya, Elena|Elena_Akhmilovskaya
Akhsharumova, Anna|Anna_Akhsharumova
Akopian, Vladimir|Vladimir_Akopian
Al-Modiahki, Mohamad|Mohamad_Al-Modiahki
Alapin, Semen Zinov'evic|Sem%C3%ABn_Zinov%27evi%C4%8D_Alapin
Albin, Adolf|Adolf_Albin
Albino, Salvatore|Salvatore_Albino
Alburt, Lev O|Lev_Osipovi%C4%8D_Alburt
Alechin, Aleksander Aleksandrovic|Aleksandr_Aleksandrovi%C4%8D_Alechin
Alekhine, Alexander|Alexandr_Alekhin
Aleksandr Igorevic Griscuk|Aleksandr_Igorevi%C4%8D_Gri%C5%A1%C4%8Duk
Aleksandr Valer'evic Chalifman|Aleksandr_Valer%27evi%C4%8D_Chalifman
Alekseev, Evgenij Vladimirovic|Evgenij_Vladimirovi%C4%8D_Alekseev
Aleksej Sergeevic Dreev|Aleksej_Sergeevi%C4%8D_Dreev
Alessi, Giuseppe|Giuseppe_Alessi_(scacchista)
Alexander, Conel Hugh O'Donel|Conel_Hugh_O'Donel_Alexander
Alexandria, Nana|Nana_Alexandria
Almeida, Octavio Figueira Trompowsky de|Octávio_Figueira_Trompowsky_de_Almeida
Ambrosi, Eleonora|Eleonora_Ambrosi
Amelung, Friedrich|Friedrich_Amelung
Anand, Viswanathan|Viswanathan_Anand
Anatolij Evgen'evic Karpov|Anatolij_Evgen%27evi%C4%8D_Karpov
Anderssen, Adolf|Adolf_Anderssen
Andersson, Ulf|Ulf_Andersson
Andriasian, Zaven|Zaven_Andriasian
Ardizzone, Angelo|Angelo_Ardizzone
Arencibia, Walter|Walter_Arencibia
Arlandi, Ennio|Ennio_Arlandi
Aronian, Levon|Levon_Aronian
Asrian, Karen|Karen_Asrian
Atkins, Henry Ernest|Henry_Ernest_Atkins
Averbach, Jurij L'vovic|Jurij_L%27vovi%C4%8D_Averbach
Avrukh, Boris|Boris_Avrukh
Azmaiparashvili, Zurab|Zurab_Azmaiparashvili
Baburin, Alexander|Alexander_Baburin
Bacrot, Etienne|Étienne_Bacrot
Baiocchi, Giorgio|Giorgio_Baiocchi
Balashov, Yuri S|Jurij_Sergeevi%C4%8D_Bala%C5%A1ov
Bardeleben, Curt von|Curt_von_Bardeleben
Bareev, Evgenij Il'gizovic|Evgenij_Il%27gizovi%C4%8D_Bareev
Barnes, Thomas Wilson|Thomas_Wilson_Barnes
Bauer, Christian|Christian_Bauer_(scacchista)
Baumbach, Friedrich|Friedrich_Baumbach
Bayersdorfer, Adolf|Adolf_Bayersdorfer
Beliavsky, Alexander G|Aleksandr_Genrichovi%C4%8D_Beljavskij
Bellini, Fabio|Fabio_Bellini
Belotti, Bruno|Bruno_Belotti
Benini, Clarice|Clarice_Benini
Benjamin, Joel|Joel_Benjamin
Benko, Pal C|P%C3%A1l_Benk%C5%91
Berger, Johann|Johann_Berger
Berlino, Pleiadi di|Pleiadi_di_Berlino
Bernstein, Ossip|Ossip_Bernstein
Bianchetti, Rinaldo|Rinaldo_Bianchetti
Bianchi, Sergio|Sergio_Bianchi
Bilguer, Paul von|Paul_von_Bilguer
Bird, Henry|Henry_Bird
Bisguier, Arthur|Arthur_Bisguier
Blackburne, Joseph|Joseph_Blackburne
Bledow, Ludwig|Ludwig_Bledow
Boden, Samuel|Samuel_Boden
